testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter
test_1ji1oz1lmqtrl_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-30;hotelIds=ONBER609%2CWVADL347;adults=6;includeClosed=true;countryOfResidence=TW;lang=es-ES;checkInDate=2023-07-22;priceRange=300;bestRateOnly=false;,,
test_u8arcual19b6_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=ROOM_ONLY;checkOutDate=2023-09-27;hotelIds=SMMAD130;roomQuantity=6;includeClosed=true;checkInDate=2023-08-25;priceRange=0-100000;,,
test_qe9ehs4j6kvo_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=ROOM_ONLY;hotelIds=HLSEL235%2CRTSYDMEN%2CSBBERGEN;lang=de;checkInDate=2023-07-06;priceRange=10-;paymentPolicy=NONE;bestRateOnly=false;,,
test_1jy7ogma95ap0_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-24;hotelIds=MCSFOUSM;roomQuantity=8;adults=6;includeClosed=true;lang=it;checkInDate=2023-08-19;priceRange=0-200;paymentPolicy=DEPOSIT;,,
test_1hv37l976h1dd_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-25;hotelIds=CYMIAGBC%2CMDPHL238%2CRZUKYRZZ;roomQuantity=4;adults=8;includeClosed=true;countryOfResidence=KR;lang=ru-RU;priceRange=15-10000;,,
test_s18vc3k45g0x_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=BREAKFAST;checkOutDate=2023-10-01;hotelIds=SIDXB408%2CWVADL347%2CWVSYDOAK%2CARMADCUZ;roomQuantity=7;lang=ru;checkInDate=2023-09-16;priceRange=10-;bestRateOnly=false;,,
test_qxr2zm055stv_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,hotelIds=LMAKL131%2CCYBERMTC%2CMCBOSCBM;adults=2;countryOfResidence=AU;lang=ja;checkInDate=2023-05-03;priceRange=100-1000;bestRateOnly=false;,,
test_1jyb01hx4vha1_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=FULL_BOARD;hotelIds=WVADL347%2CSIBOS430%2CWVMCO625;roomQuantity=9;countryOfResidence=NZ;lang=RU;checkInDate=2023-05-31;priceRange=100-1000;paymentPolicy=GUARANTEE;bestRateOnly=true;,,
test_1jewkgmf6hq9e_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=HALF_BOARD;hotelIds=CPTLSED6;roomQuantity=5;adults=1;lang=ru;priceRange=15-10000;paymentPolicy=NONE;,,
test_trtk65nwm2cj_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=ROOM_ONLY;checkOutDate=2023-10-01;hotelIds=CYOAKCDC%2CPIMANAEE%2CBWROM242;roomQuantity=1;adults=7;includeClosed=false;checkInDate=2023-05-04;priceRange=0-100000;,,
test_qe11jd6fzwhc_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-27;hotelIds=RTSYDKIN%2CPILONARG;roomQuantity=5;countryOfResidence=DE;lang=it-IT;priceRange=15-10000;,,
test_ts588i5cljxz_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=FULL_BOARD;hotelIds=RTLPLIBI%2CRTADLGRO;lang=ko;checkInDate=2023-04-22;priceRange=100-1000;paymentPolicy=GUARANTEE;bestRateOnly=false;,,
test_1hbaxuxv2qag5_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=ALL_INCLUSIVE;checkOutDate=2023-09-30;hotelIds=MCBOSLWM%2CWIROM070;lang=ru;priceRange=0-50000;bestRateOnly=true;,,
test_1iut6wwispd9i_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-28;hotelIds=SIPHL992%2CMCLGABKM;includeClosed=true;lang=AR;checkInDate=2023-04-17;priceRange=100-1000;paymentPolicy=GUARANTEE;bestRateOnly=false;,,
test_vbsj01vfgnxv_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,hotelIds=SIOAK913%2CHIWAS13D;adults=5;includeClosed=false;lang=ar-DZ;checkInDate=2023-08-11;priceRange=10-;paymentPolicy=DEPOSIT;bestRateOnly=true;,,
test_1iun6ll8z4x2a_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-29;hotelIds=BWAKL460;roomQuantity=4;adults=4;includeClosed=true;checkInDate=2023-04-15;priceRange=10-;paymentPolicy=NONE;,,
test_ts1vfabwdt84_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-10-01;hotelIds=HSVCEAHJ%2CSBROMPLM%2CRTSYDIWS;roomQuantity=1;adults=8;countryOfResidence=DE;checkInDate=2023-07-18;priceRange=10-;paymentPolicy=GUARANTEE;bestRateOnly=true;,,
test_1hrlzfb33wi0i_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-10-01;hotelIds=MDBCNMER;roomQuantity=2;includeClosed=true;countryOfResidence=AE;checkInDate=2023-05-29;priceRange=100;paymentPolicy=GUARANTEE;,,
test_vf6zecfg93ky_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=FULL_BOARD;hotelIds=WVBCN054%2CARMADREC;roomQuantity=6;adults=2;includeClosed=true;lang=ar;priceRange=15-10000;bestRateOnly=false;,,
test_1jyocl51fanna_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,hotelIds=WVADLFRA%2CARFLRFIR;roomQuantity=5;adults=5;countryOfResidence=FR;lang=ru-RU;priceRange=10-;,,
test_1hr5wnaskrei8_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=FULL_BOARD;hotelIds=PILPLAKQ%2CWVLPLBRI;lang=hu;checkInDate=2023-07-24;priceRange=100;bestRateOnly=false;,,
test_urmud53ykeau_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-10-01;hotelIds=MCNYCWSM%2CMCLGABKM%2CBRPARVDB%2CRTPARNOV%2CMDCEI160;adults=3;includeClosed=false;lang=FR;checkInDate=2023-07-01;priceRange=15-10000;bestRateOnly=true;,,
test_1iyhq8ltydxrq_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,boardType=ALL_INCLUSIVE;checkOutDate=2023-10-01;hotelIds=WVDXBAIR%2CXRWAS193;adults=5;includeClosed=true;countryOfResidence=FR;lang=de-DE;checkInDate=2023-08-27;priceRange=300;bestRateOnly=true;,,
test_1jxzfh3hy3hwi_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-10-01;hotelIds=ARMADAVE%2CGIFLR424%2CBLPAR123%2CPUBKKMON%2CDTNYC917%2CARSVQJUS%2CARMADVAS;adults=4;countryOfResidence=ES;checkInDate=2023-07-22;priceRange=15-10000;,,
test_skpif4xjbnlf_getMultiHotelOffers,True,inter_parameter_dependency,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-24;hotelIds=CYTYOCYC%2CWVLONINT;roomQuantity=5;includeClosed=false;countryOfResidence=FR;lang=ja;checkInDate=2023-06-28;priceRange=0-50000;,,
test_1jy7r4b95hoop_getMultiHotelOffers,False,none,True,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-28;hotelIds=WVDXBAIR%2CXRWAS193;currency=MKD;countryOfResidence=FR;lang=ar;priceRange=0-200;,,
test_tony4iii34tu_getMultiHotelOffers,False,none,True,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-27;hotelIds=HIBKK47E%2CHYNYCAWS;roomQuantity=5;includeClosed=true;checkInDate=2023-08-17;bestRateOnly=false;,,
test_t4sy8b6dg6cy_getMultiHotelOffers,False,none,True,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-29;hotelIds=RTADLROC%2CALBKK211;roomQuantity=8;countryOfResidence=UY;lang=FR;paymentPolicy=NONE;,,
test_veymtsnw8wmq_getMultiHotelOffers,False,none,True,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,hotelIds=BWTLS454;includeClosed=true;checkInDate=2023-05-25;bestRateOnly=false;,,
test_t841t97pbhba_getMultiHotelOffers,False,none,True,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-26;hotelIds=RTSSAMSB;adults=4;lang=zh-CN;checkInDate=2023-05-10;paymentPolicy=DEPOSIT;,,
