testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter
test_1ievifr574fom_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=all;affiliation=collaborator%2Corganization_member;direction=desc;,,
test_t4f1sxkd1n50_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,affiliation=owner%2Corganization_member;sort=full_name;,,
test_1hux4vcva7ty9_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,,,
test_1k1x9fpjccvg7_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,type=public;,,
test_rhrnliptzx2t_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,sort=created;type=private;direction=asc;,,
test_ubj56l53oks5_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=public;affiliation=owner%2Corganization_member%2Ccollaborator;,,
test_skq1fulvdru8_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=private;sort=full_name;direction=asc;,,
test_1jiflel4qiyjm_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,sort=pushed;type=member;,,
test_1iyc686dmnodu_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,,,
test_to7dhoc4czzm_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,affiliation=owner%2Corganization_member;,,
test_s4m9utgm70ah_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=all;affiliation=owner;sort=updated;,,
test_1ibhjw2y1nnzt_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,direction=desc;,,
test_s4xw1osp46yc_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=all;sort=pushed;,,
test_vb43a2un9y02_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=all;sort=pushed;,,
test_r1cu08locv1x_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,sort=updated;type=public;direction=desc;,,
test_ts57gy2mfnsh_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,sort=pushed;type=public;direction=desc;,,
test_t4yzplrz7rjn_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=public;affiliation=owner%2Ccollaborator;direction=desc;,,
test_r1a1ix92c485_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,sort=updated;type=all;,,
test_1jecmy3moej3r_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=public;affiliation=collaborator%2Cowner;direction=asc;,,
test_1hrgg6rw4jx41_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=public;sort=created;,,
test_rh50kbtft204_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=private;affiliation=owner%2Ccollaborator;sort=pushed;direction=asc;,,
test_t4hvx9wja0xj_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=private;direction=asc;,,
test_trz419oy7xv4_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,type=private;direction=desc;,,
test_1hv0gx28vmsf6_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,affiliation=owner%2Ccollaborator%2Corganization_member;direction=desc;,,
test_vb9mtkmz9jjn_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=all;affiliation=owner;,,
test_1iyhozzreo3e9_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=public;,,
test_1iuw0bhujn1ib_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,affiliation=organization_member%2Ccollaborator%2Cowner;sort=created;,,
test_sl6p9moli9tl_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=private;sort=created;direction=desc;,,
test_t4symdxnwoys_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=public;affiliation=collaborator%2Corganization_member%2Cowner;sort=pushed;,,
test_vevbkfey04s5_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,sort=full_name;type=private;direction=desc;,,
test_1hbjacgphvvj6_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,sort=full_name;type=public;,,
test_uruoxgwjm0xg_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,type=member;,,
test_1huzzdtuw46ld_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,affiliation=owner%2Corganization_member;direction=desc;,,
test_1hrpbgl0nucf9_getUserRepos,False,none,True,getUserRepos,/user/repos,GET,application/json,application/json,Authorization=;,,visibility=private;affiliation=collaborator;sort=full_name;direction=desc;,,
