testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter
test_r17baycx4ns3_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;percent_off=27;id=ha7KiNZA1sx10FERKUp;,
test_t4q46z114tv7_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1626677975;max_redemptions=95;name=forgivingly;currency=bgn;percent_off=82;,
test_1iuvgdmewg4s0_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;duration_in_months=77;max_redemptions=42;name=knowingly;currency=all;id=Fda2u4Lq0r535snY;amount_off=44;,
test_1h81zwix4ivjm_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1631147356;currency=eur;amount_off=90;,
test_ubgdq42irwbn_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;duration_in_months=41;max_redemptions=80;name=productively;currency=nad;percent_off=33;,
test_u7rsx8to2s0z_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;percent_off=82;,
test_s4ru6h24e3p5_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;currency=mwk;amount_off=56;,
test_ubgc8rwmwkl5_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;max_redemptions=59;name=dizzily;percent_off=34;id=puH4QJTjiNTMWZl;,
test_rhlmtln17e48_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1624703433;duration_in_months=94;percent_off=32;id=EYiwvn4B8R06g2K;,
test_1h85aryzogv1z_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1639653278;duration_in_months=21;max_redemptions=26;name=fractiously;currency=mop;id=Sfz9JVWY6SbFOU6t;amount_off=43;,
test_qe73gzqzirmp_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;redeem_by=1646460371;max_redemptions=45;name=grossly;percent_off=92;,
test_u85ne7ea1f00_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1638991181;duration_in_months=76;max_redemptions=31;name=axiomatically;percent_off=17;,
test_vf0y8bwnualt_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;max_redemptions=91;name=mighty;currency=vuv;amount_off=70;,
test_r17ch98c9p9y_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1639963722;duration_in_months=58;name=forevermore;percent_off=79;,
test_uv5vavz2ied5_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1633437233;duration_in_months=40;name=hieroglyphically;currency=bnd;percent_off=8;id=PRTrPcN0zW4kAMoWBmj;,
test_vf964e303dx3_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;currency=amd;id=Irlv00qTa3ArmkasI4;amount_off=47;,
test_rhgl9vptf586_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1646922208;max_redemptions=7;name=south-west;currency=brl;id=eltDbbopinVz9XOBh;amount_off=77;,
test_1k1u1d9tnbqyc_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1624665096;max_redemptions=5;currency=bam;percent_off=33;id=g1IGUKywyow5UagBgUYZ;,
test_qe9c2ugr9j5d_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;currency=thb;percent_off=16;,
test_urmeu9m31mia_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1619800030;currency=dzd;amount_off=38;,
test_rhm4d9dyc7za_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;max_redemptions=33;currency=lkr;id=m6qrsdVI3p2Q7zdkd;amount_off=30;,
test_u7xc588eizc4_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;name=absolutely;currency=zar;percent_off=63;,
test_1jew1tnxreuk1_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;max_redemptions=82;percent_off=66;,
test_ubrek1f4wbqc_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1621274712;max_redemptions=54;name=extemporaneously;currency=clp;id=ARsLziglXd53eaNTNcX;amount_off=95;,
test_urp65tterqcy_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;duration_in_months=94;max_redemptions=25;percent_off=8;id=LYWCWyD2ELX4rxdMMO;,
test_1iykj3waxyddf_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;duration_in_months=73;max_redemptions=43;currency=lrd;percent_off=43;id=c0WlAJ1BdNuM3oMdcPH;,
test_s1b3k52f5vlk_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1633608698;max_redemptions=100;name=purposely;currency=ang;percent_off=4;id=SrTDr7F9FSkADtKTA;,
test_1jew250e9ip80_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1647747806;currency=pgk;id=L7ESTk2JEuIJVMB;amount_off=82;,
test_1iv6l0ubzhhdk_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;duration_in_months=24;max_redemptions=66;name=conceptually;percent_off=80;id=AegZ3TwyzRRzTPtEl4lN;,
test_1h7o85ijuaxcy_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1629551601;duration_in_months=81;name=each;percent_off=84;,
test_1jid9xhh7x55u_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;max_redemptions=66;name=counter;percent_off=63;,
test_1jifio9dy5jjm_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;max_redemptions=19;name=fondly;currency=hnl;percent_off=39;,
test_skv3iz0mp3y1_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;duration_in_months=53;max_redemptions=67;name=deucedly;currency=cad;id=afsD1hsZPCQwKe7Y9tU;amount_off=55;,
test_t4svkprzq0jd_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1619882276;name=fixedly;percent_off=67;id=LiIBLRd4v9zK4k1Sd;,
test_vbps02ent9pd_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;max_redemptions=53;currency=jpy;amount_off=53;,
test_1hv0fqykdjcrn_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1633618718;duration_in_months=92;max_redemptions=1;currency=sbd;percent_off=7;id=YRlFxmFyHkLVQRDXpj3;,
test_qdpzohyy45rk_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;max_redemptions=75;name=drowsily;percent_off=8;id=bKYwHNkyOcXfb8zBf;,
test_1jyouimd67bqs_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;duration_in_months=19;max_redemptions=58;name=patrilineally;percent_off=50;id=nAaOcWta7UGWncXA;,
test_r1a3enztc3ea_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;duration_in_months=94;percent_off=36;,
test_rlap8qyp0db9_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1638496108;duration_in_months=45;name=grudgingly;currency=hnl;amount_off=30;,
test_rhlogh31gb3k_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;max_redemptions=40;currency=tzs;id=oxkNYfO5dzY6CIrus;amount_off=93;,
test_1h7lgozjujm0g_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1641940090;max_redemptions=4;name=discursively;percent_off=16;id=SVqJHuwV2yZlpKv;,
test_rhty592o8pbo_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1630527019;duration_in_months=55;max_redemptions=84;name=multiplicatively;percent_off=55;id=Gk56LteRk3G49oCSuysg;,
test_s15l6geewhf8_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1648965956;max_redemptions=59;currency=tzs;id=jEQRm9I9pfP1vzKEL;amount_off=48;,
test_1iuqh347kab02_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1644107221;max_redemptions=88;name=altruistically;currency=aud;percent_off=12;,
test_rhowwxja5fzm_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;max_redemptions=12;currency=hkd;amount_off=100;,
test_to536nnj2hx2_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;max_redemptions=50;name=unwarily;currency=amd;amount_off=90;,
test_r1fkaj3f5vee_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1623513276;currency=myr;percent_off=83;id=azDKFKRE4pwfp2rgQ;,
test_tocup8zf6gqb_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1640049682;duration_in_months=27;max_redemptions=40;currency=cad;amount_off=33;,
test_u7znhimu4186_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;max_redemptions=7;name=scurvily;percent_off=45;id=gRkWDTgbpqhWXzf;,
test_u85oki9vmhbt_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;max_redemptions=34;percent_off=68;,
test_1ji4hixnx5un9_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;name=immaculately;currency=qar;id=HJbcvp9oherDEug62;amount_off=20;,
test_r1cu0ejlp7hu_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1631504223;duration_in_months=75;max_redemptions=27;percent_off=78;,
test_1hbgi6jt5axbm_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=repeating;redeem_by=1623403024;duration_in_months=92;name=unharmoniously;currency=awg;percent_off=58;,
test_1iuqgp912pzjp_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=forever;currency=djf;id=qrRbpilLcFiHvUhbQ;amount_off=82;,
test_1jyoczaftz3g0_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1636940134;max_redemptions=95;name=irrespective;currency=bnd;percent_off=88;,
test_s4xe4dq8t3dv_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;redeem_by=1636616965;max_redemptions=80;name=doltishly;currency=gtq;id=IVYWnzjqP2fkQvPSNMK;amount_off=33;,
test_to1u9oj4rrjn_PostCoupons,False,none,True,PostCoupons,/coupons,POST,application/x-www-form-urlencoded,application/json,Authorization=Bearer+sk_test_;,,,duration=once;max_redemptions=1;currency=cve;percent_off=73;,
