testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter
test_qdvkscf345dc_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,offset=265;price=4%2C2;location=Melbourne;attributes=request_a_quote%2Cwaitlist_reservation;locale=en_NZ;open_at=1991037126;longitude=-110.04789;,,
test_qxlizkq0u90x_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,latitude=35.404392;limit=11;location=Seville%2C+Spain;attributes=waitlist_reservation%2Copen_to_all;sort_by=rating;categories=robatayaki;open_at=1782921411;longitude=-91.154854;,,
test_1hruao87oobhy_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,open_now=true;latitude=38.98541;limit=17;term=food;sort_by=distance;categories=musicalinstrumentsandteachers;locale=de_CH;longitude=-106.856834;,,
test_1iesrtucmcacm_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,offset=365;price=2%2C1%2C3;latitude=36.39595;limit=29;term=cinema;location=NYC;radius=13890;,,
test_tocxqt47quec_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,open_now=false;offset=636;price=4%2C3%2C2%2C1;latitude=39.793102;location=Seville%2C+Spain;attributes=request_a_quote%2Cdeals%2Cgender_neutral_restrooms;categories=boattours%2Cmusicians;locale=en_CH;radius=50;open_at=1821835878;longitude=-118.14283;,,
test_u7ukdmnnk7jo_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,open_now=true;price=2%2C1%2C3%2C4;latitude=39.833145;limit=29;location=Seville%2C+Spain;attributes=cashback%2Copen_to_all%2Cwheelchair_accessible;categories=childcloth%2Cwildlifehunting;locale=pl_PL;radius=23256;,,
test_1ji4ylk5jkfvp_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,offset=792;latitude=38.894165;term=open;sort_by=best_match;categories=nursepractitioner;radius=7841;open_at=1964030301;longitude=-112.71772;,,
test_1if11j0jpsuur_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,offset=866;location=Melbourne;attributes=waitlist_reservation%2Ccashback%2Cdeals;locale=en_US;radius=33165;longitude=-117.49955;,,
test_t4nx2mdwmkom_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,price=2%2C3%2C1;limit=34;term=food;location=Egypt;sort_by=rating;,,
test_1ib5yxnh5sshi_getBusinesses,False,none,True,getBusinesses,/businesses/search,GET,application/json,application/json,Authorization=,,open_now=false;limit=2;location=Egypt;attributes=open_to_all%2Cgender_neutral_restrooms%2Cdeals;locale=tr_TR;open_at=2087340008;,,
