testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter
test_u8b70vlwhstx_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,searchTerms=edirne;maxResults=38;part=id%2Creplies%2Csnippet;allThreadsRelatedToChannelId=UClzCn8DxRSCuMFv_WfzkcrQ;,,
test_t4cat9vsh086_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,part=id%2Csnippet%2Creplies;id=UgyR8TjvAmSACMJZyH14AaABAg;textFormat=html;,,
test_1iev17jdww1np_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,searchTerms=parsimoniousness;maxResults=92;part=replies%2Csnippet;channelId=UCMtFAi84ehTSYSE9XoHefig;order=time;,,
test_qy4hhwtphsfp_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,searchTerms=saree;maxResults=30;part=id%2Creplies%2Csnippet;channelId=UCMtFAi84ehTSYSE9XoHefig;,,
test_t844jla6qwrm_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,searchTerms=cocozelle;part=snippet;allThreadsRelatedToChannelId=UCJ0uqCI0Vqr2Rrt1HseGirg;textFormat=html;order=time;,,
test_1ji4yoeefrzuc_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,part=snippet%2Creplies%2Cid;channelId=UCJ0uqCI0Vqr2Rrt1HseGirg;order=relevance;,,
test_uvgxk0jow8kj_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,searchTerms=retrospection;maxResults=44;part=snippet;channelId=UCJ0uqCI0Vqr2Rrt1HseGirg;textFormat=plainText;order=relevance;,,
test_qxw3fvo79ppi_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,maxResults=47;part=id%2Csnippet%2Creplies;channelId=UCJ0uqCI0Vqr2Rrt1HseGirg;textFormat=html;,,
test_s4xcyio9x3l2_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,searchTerms=sagebrush;maxResults=29;part=id%2Csnippet;channelId=UCJ0uqCI0Vqr2Rrt1HseGirg;,,
test_uvgyq3hi23ow_youtubecommentThreadslist,False,none,True,youtube.commentThreads.list,/commentThreads,GET,application/json,application/json,,,searchTerms=territorial;maxResults=53;part=id%2Creplies;channelId=UCDwjiSF4qEb3aeT3ZLkPc_Q;,,
