testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter
test_1hrj76fkxae04_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,videoCaption=closedCaption;part=snippet;videoDefinition=high;videoSyndicated=any;type=video;safeSearch=strict;videoLicense=creativeCommon;locationRadius=488ft;q=topologically;regionCode=ES;publishedAfter=2011-07-07T08%3A04%3A44Z;maxResults=14;videoDimension=2d;location=35.681999%2C139.769254;relevanceLanguage=FR;channelId=UC-9-kyTW8ZkZNDHQJ6FgpwQ;,,
test_1h84tk1ues94j_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,q=explosively;regionCode=FR;publishedAfter=2012-05-02T12%3A37%3A28Z;videoDuration=short;videoCategoryId=34;part=snippet;type=video;publishedBefore=2018-07-08T05%3A35%3A03Z;order=relevance;,,
test_uvjped5ait0h_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,videoCaption=closedCaption;videoType=movie;part=snippet;videoSyndicated=true;type=video;safeSearch=none;videoLicense=youtube;q=belike;topicId=%2Fm%2F018jz;regionCode=PT;maxResults=43;videoDimension=2d;relevanceLanguage=FR;channelId=UC-9-kyTW8ZkZNDHQJ6FgpwQ;,,
test_t84kwjn9p0z6_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,q=invidiously;topicId=%2Fm%2F07bxq;publishedAfter=2012-09-14T12%3A24%3A41Z;maxResults=46;part=snippet;forDeveloper=false;channelType=any;type=channel;relevanceLanguage=PT;order=viewCount;,,
test_r1a1ivb371wi_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,locationRadius=502km;topicId=%2Fm%2F09kqc;regionCode=IT;videoEmbeddable=true;videoDuration=medium;videoCategoryId=36;part=snippet;location=-37.812746%2C144.961832;type=video;publishedBefore=2020-08-15T15%3A50%3A34Z;order=date;,,
test_1jyisqaur74o1_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,regionCode=IT;relatedToVideoId=yDgLFOxnQ8Y;maxResults=41;part=snippet;type=video;safeSearch=moderate;relevanceLanguage=PT;,,
test_vbsjb8s5qiqt_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,regionCode=FR;publishedAfter=2011-09-02T21%3A49%3A15Z;part=snippet;forDeveloper=true;type=playlist;relevanceLanguage=IT;order=title;,,
test_qy1ndwbrqlo6_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,part=snippet;eventType=live;type=video;videoLicense=creativeCommon;q=delicately;regionCode=ES;publishedAfter=2010-01-02T15%3A38%3A41Z;videoDuration=medium;maxResults=46;videoDimension=3d;channelId=UCEgdi0XIXXZ-qJOFPf4JSKw;order=date;,,
test_u82xn5fryhr8_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,videoCaption=any;part=snippet;videoDefinition=any;type=video;safeSearch=moderate;videoLicense=any;locationRadius=640km;topicId=%2Fm%2F02wbm;regionCode=FR;videoEmbeddable=true;maxResults=39;location=37.392191%2C-5.995193;publishedBefore=2020-10-23T04%3A30%3A13Z;channelId=UClzCn8DxRSCuMFv_WfzkcrQ;,,
test_skk153hm8i90_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,videoCaption=closedCaption;videoType=any;part=snippet;videoDefinition=any;videoSyndicated=any;type=video;q=developmentally;topicId=%2Fm%2F06by7;maxResults=10;relevanceLanguage=ES;publishedBefore=2017-02-14T19%3A51%3A21Z;order=title;,,
test_qeexncq8pbug_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,part=snippet;forDeveloper=false;videoDefinition=high;eventType=completed;videoSyndicated=any;type=video;safeSearch=none;videoLicense=creativeCommon;locationRadius=287km;q=farther;topicId=%2Fm%2F0f2f9;regionCode=DE;publishedAfter=2012-08-02T11%3A36%3A31Z;videoEmbeddable=any;videoDimension=2d;location=-37.812746%2C144.961832;publishedBefore=2019-09-14T18%3A22%3A03Z;channelId=UCMtFAi84ehTSYSE9XoHefig;,,
test_vb6tk5h1yhcx_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,q=remarkably;regionCode=US;part=snippet;relevanceLanguage=FR;order=relevance;,,
test_r1iw9lrtgzzk_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,videoCaption=closedCaption;videoType=any;part=snippet;forDeveloper=true;videoDefinition=standard;eventType=live;type=video;safeSearch=moderate;videoLicense=youtube;locationRadius=588km;topicId=%2Fm%2F0b1vjn;regionCode=PT;publishedAfter=2012-11-20T10%3A28%3A53Z;videoDimension=any;location=-33.924278%2C18.424572;order=rating;,,
test_1iv0zzkzee1bk_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,videoCaption=none;videoType=episode;part=snippet;forDeveloper=true;eventType=live;type=video;safeSearch=none;videoLicense=any;locationRadius=569ft;q=admiringly;topicId=%2Fm%2F021bp2;regionCode=IT;videoEmbeddable=any;videoCategoryId=43;location=37.42307%2C-122.08427;channelId=UClzCn8DxRSCuMFv_WfzkcrQ;order=rating;,,
test_1hrmi1tqzpz6q_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,videoCaption=closedCaption;part=snippet;forDeveloper=false;eventType=completed;type=video;videoLicense=any;locationRadius=823m;q=derisively;publishedAfter=2012-06-25T06%3A48%3A08Z;videoDuration=medium;maxResults=38;location=13.753789%2C+100.501572;channelId=UClgRkhTL3_hImCAmdLfDE4g;order=videoCount;,,
test_us0q0orv5r20_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,videoCaption=any;part=snippet;forDeveloper=false;videoDefinition=any;type=video;locationRadius=105ft;q=devoutly;regionCode=US;videoEmbeddable=true;maxResults=48;location=39.904325%2C+116.405302;relevanceLanguage=IT;channelId=UCDwjiSF4qEb3aeT3ZLkPc_Q;order=relevance;,,
test_1hrs2dxhs8z7d_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,videoCaption=closedCaption;videoType=episode;part=snippet;videoDefinition=standard;eventType=upcoming;type=video;videoLicense=creativeCommon;locationRadius=769km;publishedAfter=2011-02-08T07%3A12%3A56Z;maxResults=17;videoCategoryId=26;location=19.430849%2C+-99.135857;relevanceLanguage=FR;publishedBefore=2017-02-24T14%3A36%3A21Z;channelId=UCYfdidRxbB8Qhf0Nx7ioOYw;,,
test_1iynavznum99e_youtubesearchlist,False,none,True,youtube.search.list,/search,GET,application/json,application/json,,,part=snippet;forDeveloper=true;channelType=show;type=channel;safeSearch=none;q=oversea;topicId=%2Fm%2F0glt670;publishedAfter=2015-12-28T04%3A36%3A42Z;relevanceLanguage=IT;publishedBefore=2017-09-05T08%3A51%3A28Z;channelId=UCJ0uqCI0Vqr2Rrt1HseGirg;order=videoCount;,,
