testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter
test_uvhfv6s4hzcj_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,maxHeight=2036;maxResults=18;videoCategoryId=15;part=snippet%2Cstatus;id=t22flliJLTQ;,,
test_t49ka1skctwj_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,regionCode=US;maxHeight=6873;part=player%2CliveStreamingDetails;chart=mostPopular;maxWidth=4486;,,
test_u87yt4grpy7a_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,hl=fr;maxHeight=1407;maxResults=9;videoCategoryId=0;part=status%2Csnippet%2CcontentDetails%2CrecordingDetails%2Cplayer;chart=mostPopular;maxWidth=4128;,,
test_qhtdlejmzgvs_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,regionCode=ES;hl=es;videoCategoryId=0;part=topicDetails%2CrecordingDetails%2CliveStreamingDetails;chart=mostPopular;maxWidth=8067;,,
test_1jict5vy2jmm0_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,regionCode=IT;maxHeight=5417;part=snippet%2Cstatus%2CliveStreamingDetails;id=LGR-Qfeb88c;,,
test_1iv4a0hr6uzxe_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,regionCode=IT;maxHeight=3251;maxResults=19;part=localizations%2Csnippet%2Cplayer;chart=mostPopular;,,
test_ts57uhfj8sop_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,regionCode=FR;hl=es;videoCategoryId=0;part=topicDetails%2Cstatistics%2CliveStreamingDetails;id=n8I-YVuaSR0;,,
test_t4fkkz5u45kk_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,regionCode=FR;hl=pt;maxHeight=1057;maxResults=30;videoCategoryId=0;part=contentDetails%2CrecordingDetails;chart=mostPopular;,,
test_1k1r9lfz6t9wm_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,regionCode=PT;hl=it;maxHeight=3700;maxResults=3;videoCategoryId=2;part=recordingDetails%2Csnippet;id=5kUu97Vkwj4;maxWidth=7293;,,
test_1iuya3by1n8dy_youtubevideoslist,False,none,True,youtube.videos.list,/youtube/v3/videos,GET,application/json,application/json,,,regionCode=ES;videoCategoryId=0;part=status%2CcontentDetails%2Cstatistics;chart=mostPopular;maxWidth=4058;,,
