,GNB,KNN,DT-G,DT-E,MLP,SVC,RF-E-50,RF-G-50,RF-E-100,RF-G-100,RF-E-150,RF-G-200,RF-E-200,RF-G-150,RF-G-250,RF-G-350,RF-E-250,RF-E-400,RF-E-300,RF-G-300,RF-G-400,RF-E-350
GitHub,98.06864383180172,99.93233082706766,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Amadeus_Hotels,100.0,91.18958416569794,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Stripe_Coupons,62.621534974565286,98.9444075365071,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Stripe_Products,99.82599041463305,99.36752517258057,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Yelp_Businesses,81.45389898989899,83.40979292929292,93.21919191919193,93.31919191919192,92.36683428287506,97.74290909090908,98.81118181818182,98.65674242424241,98.92481313131313,98.81829797979798,98.89443434343434,98.87598484848483,98.91810101010101,98.89493939393938,98.92507575757577,98.8808787878788,98.96098484848486,98.89099494949495,98.90050000000001,98.92513636363637,98.8894393939394,98.95252020202021
YouTube_CommentsAndThreads,83.46498211932995,96.0586203651421,98.03583192170147,98.05368906455865,99.44000005722046,89.4239789196311,99.79882364012799,99.72473178994917,99.79610860154338,99.80400903444382,99.71700075287032,99.84297007340486,99.80660173160173,99.82861377752683,99.78839168078298,99.79356295878034,99.81301054018445,99.84945887445888,99.78194052324486,99.84296066252588,99.79623564840956,99.78451910408431
YouTube_Search,90.75925873869596,81.3747466418462,86.82478870336013,87.2288084930942,92.58590877056122,95.94127525512806,96.6286459211784,97.11629685850465,97.02276975069184,97.13022234299291,97.17805305164612,97.25333150095054,97.26824256791791,97.29181346551478,97.31158924849399,97.42078609221466,97.38740830277625,97.42576788291075,97.48533443068075,97.42111040314505,97.5824765902688,97.54299483184765
YouTube_Videos,51.36363636363635,99.99936159346271,95.75459652706846,96.15296220633299,97.68361568450928,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mean,83.44474317907017,93.78454615394965,96.72930113391524,96.84433146039721,97.75954484939575,97.88852040820852,99.40483142243603,99.43722138408702,99.46796143544356,99.46906616965435,99.47368601849384,99.49653580285502,99.49911816370258,99.50192082962262,99.50313208585659,99.51190347985923,99.5201754614307,99.52077771335806,99.5209718692407,99.52365092866341,99.53351895407722,99.53500426724402
Std,16.869164480659094,7.13930039627068,4.414000300843618,4.281623577967595,3.1375964049241625,3.4955893509987894,1.1172501866314268,0.9786533570635163,0.9872295951901504,0.9627649029060893,0.9387290155541655,0.9222558430214823,0.9126435552036628,0.9083049877503448,0.8981070915879487,0.8690143279696418,0.873090789741869,0.869050762690546,0.8473672101318023,0.8671358919563883,0.8199426563538953,0.8254356492299694
