service,tech,accuracy,AUC,kappa
Amadeus_Hotels,active,0.8306666666666667,0.8306666666666667,0.6613333333333333
Amadeus_Hotels,random,0.666,0.6659999999999999,0.332
GitHub,active,0.9979999999999999,0.9979999999999999,0.996
GitHub,random,0.9066666666666667,0.9066666666666666,0.8133333333333334
Stripe_Coupons,active,0.68,0.68,0.36000000000000004
Stripe_Coupons,random,0.6453333333333333,0.6453333333333333,0.2906666666666667
Stripe_Products,active,1.0,1.0,1.0
Stripe_Products,random,0.9819999999999999,0.9819999999999999,0.964
Yelp_Businesses,active,0.7799999999999999,0.7799999999999999,0.56
Yelp_Businesses,random,0.7393333333333333,0.7393333333333333,0.47866666666666663
YouTube_CommentsAndThreads,active,0.6773333333333333,0.6773333333333333,0.3546666666666667
YouTube_CommentsAndThreads,random,0.6833333333333332,0.6833333333333332,0.3666666666666667
YouTube_Search,active,0.694,0.694,0.38800000000000007
YouTube_Search,random,0.626,0.626,0.252
YouTube_Videos,active,0.8246666666666668,0.8246666666666665,0.6493333333333333
YouTube_Videos,random,0.6753333333333332,0.6753333333333332,0.3506666666666667
