Test suite generation,Whole process,Test suite execution
2796,16600208,45440
941,16600208,42125
962,16600208,42892
916,16600208,97933
904,16600208,39877
899,16600208,38539
891,16600208,39662
935,16600208,39800
955,16600208,54577
941,16600208,41623
888,16600208,54162
885,16600208,53596
968,16600208,54186
1034,16600208,37819
1037,16600208,45125
1005,16600208,39058
963,16600208,39432
1008,16600208,39099
1044,16600208,38964
1001,16600208,40888
1037,16600208,38735
1859,16600208,42667
1083,16600208,39718
1130,16600208,40385
1409,16600208,39109
1077,16600208,62585
1116,16600208,39739
1192,16600208,38514
1172,16600208,39556
1258,16600208,38260
