Test suite generation,Whole process,Test suite execution
12171,20359311,769407
9143,20359311,676032
9460,20359311,646889
9055,20359311,691157
9392,20359311,737983
9137,20359311,771204
9628,20359311,687882
9181,20359311,690252
9510,20359311,725719
9285,20359311,655314
9682,20359311,715685
9343,20359311,672331
9859,20359311,714895
9532,20359311,690082
9972,20359311,696495
12760,20359311,758189
10101,20359311,740820
9635,20359311,667083
10083,20359311,780838
9706,20359311,676469
10071,20359311,693691
12199,20359311,606805
14333,20359311,682871
12999,20359311,764399
10276,20359311,719350
10307,20359311,710062
10488,20359311,775121
10138,20359311,434534
11062,20359311,112052
