Test suite generation,Whole process,Test suite execution
2378,13322883,365382
23,13322883,320357
12,13322883,325604
12,13322883,310012
290,13322883,321176
11,13322883,324077
15,13322883,319506
11,13322883,315235
465,13322883,312397
10,13322883,331240
11,13322883,313064
6,13322883,312340
403,13322883,317230
9,13322883,328705
12,13322883,307061
11,13322883,315571
370,13322883,303889
11,13322883,319953
12,13322883,305910
11,13322883,304432
357,13322883,305578
11,13322883,301886
11,13322883,304511
8,13322883,312241
421,13322883,334992
9,13322883,325971
8,13322883,314040
12,13322883,312483
421,13322883,301294
9,13322883,320836
13,13322883,337712
13,13322883,312654
509,13322883,310824
9,13322883,304787
8,13322883,312071
7,13322883,318196
343,13322883,327286
9,13322883,368232
6,13322883,342819
15,13322883,371574
