Test suite generation,Whole process,Test suite execution
3878,5390141,2879
5621,5390141,2531
5434,5390141,2225
5492,5390141,2160
5564,5390141,2215
5545,5390141,2054
5852,5390141,2183
5581,5390141,2085
5639,5390141,2093
5704,5390141,2278
5625,5390141,3185
5627,5390141,2549
25907,5390141,21341
26360,5390141,20999
26157,5390141,20506
27069,5390141,20748
26043,5390141,20050
26516,5390141,20277
26722,5390141,20505
26745,5390141,38816
26818,5390141,30527
26932,5390141,19259
27610,5390141,29389
28319,5390141,19931
28240,5390141,19491
27934,5390141,19794
27803,5390141,19973
28468,5390141,19808
28492,5390141,19706
28449,5390141,20030
28889,5390141,19968
28949,5390141,19675
29213,5390141,20215
29717,5390141,19924
29232,5390141,20098
29728,5390141,20210
29753,5390141,18941
31895,5390141,19529
136353,5390141,20218
