Test suite generation,Whole process,Test suite execution
3823,2739944,3069
5466,2739944,2520
5445,2739944,2094
5526,2739944,2211
5576,2739944,2129
5512,2739944,1934
5652,2739944,2290
5671,2739944,2264
5529,2739944,1910
25596,2739944,20194
25663,2739944,19906
26053,2739944,19741
26170,2739944,19928
26358,2739944,19826
26663,2739944,20593
26738,2739944,19301
27593,2739944,19359
26922,2739944,20200
27282,2739944,20492
27454,2739944,20347
27723,2739944,20181
28403,2739944,19510
27759,2739944,19632
28016,2739944,19874
28168,2739944,19652
28306,2739944,19716
28426,2739944,18897
28879,2739944,19128
28962,2739944,19443
29045,2739944,19266
29241,2739944,19056
29417,2739944,20140
29392,2739944,19480
29735,2739944,18596
30093,2739944,18749
30115,2739944,18728
30159,2739944,18770
30667,2739944,18869
30827,2739944,18717
30690,2739944,19425
