Test suite generation,Whole process,Test suite execution
101,2334175,50220
18,2334175,47676
18,2334175,40176
17,2334175,39052
7,2334175,47852
15,2334175,47852
11,2334175,40064
8,2334175,40290
19,2334175,47314
11,2334175,48311
15,2334175,48325
8,2334175,38963
15,2334175,42255
9,2334175,46619
9,2334175,47005
14,2334175,46473
11,2334175,38098
7,2334175,50028
16,2334175,39230
18,2334175,39598
16,2334175,49699
16,2334175,48358
12,2334175,48734
13,2334175,40801
15,2334175,40414
10,2334175,47521
14,2334175,47578
11,2334175,58130
13,2334175,42115
15,2334175,39714
8,2334175,39717
11,2334175,40272
16,2334175,47134
9,2334175,41310
17,2334175,41185
17,2334175,40546
14,2334175,48402
16,2334175,40255
17,2334175,48668
14,2334175,51134
