Test suite generation,Whole process,Test suite execution
2270,12914356,45070
862,12914356,38222
755,12914356,38364
770,12914356,38554
687,12914356,38321
747,12914356,38310
710,12914356,38368
2669,12914356,290478
2633,12914356,290839
2501,12914356,291382
2516,12914356,292632
2707,12914356,292516
2745,12914356,292102
2633,12914356,292490
2602,12914356,290837
2676,12914356,291907
2654,12914356,291823
2673,12914356,292522
2701,12914356,292960
2731,12914356,293027
2888,12914356,291005
2924,12914356,291173
2841,12914356,291896
3820,12914356,290848
3632,12914356,293853
3951,12914356,295666
2986,12914356,291546
5037,12914356,296116
4657,12914356,293170
6781,12914356,292857
6056,12914356,359487
11563,12914356,341294
9099,12914356,291725
8072,12914356,292285
16726,12914356,294838
18328,12914356,290723
14132,12914356,291830
13019,12914356,299713
18706,12914356,292683
13806,12914356,293590
