Test suite generation,Whole process,Test suite execution
2325,15529909,45389
861,15529909,38868
712,15529909,38901
878,15529909,38653
713,15529909,38556
749,15529909,39046
690,15529909,39370
828,15529909,39425
701,15529909,39389
810,15529909,39009
732,15529909,39539
728,15529909,38775
686,15529909,38507
730,15529909,38759
827,15529909,39263
715,15529909,39526
708,15529909,38155
850,15529909,39599
702,15529909,38677
769,15529909,38815
778,15529909,38197
733,15529909,39728
715,15529909,38300
755,15529909,38441
789,15529909,38223
856,15529909,38440
826,15529909,38590
