Test suite generation,Whole process,Test suite execution
320,1474987,34793
245,1474987,29501
181,1474987,30821
161,1474987,29829
236,1474987,28315
175,1474987,28839
165,1474987,29477
207,1474987,28562
152,1474987,30181
155,1474987,29500
151,1474987,29292
176,1474987,30244
169,1474987,29754
160,1474987,30712
145,1474987,28713
279,1474987,29874
154,1474987,28952
174,1474987,29285
140,1474987,28803
157,1474987,28781
264,1474987,30318
185,1474987,29248
156,1474987,30448
161,1474987,30616
166,1474987,28002
266,1474987,31027
260,1474987,29956
259,1474987,27811
258,1474987,29448
257,1474987,30412
261,1474987,30562
164,1474987,28983
167,1474987,30289
253,1474987,29506
163,1474987,29056
166,1474987,28558
149,1474987,29316
153,1474987,29742
136,1474987,29383
145,1474987,27709
