Test suite generation,Whole process,Test suite execution
1138,2961481,3687
3034,2961481,2139
3201,2961481,2168
3099,2961481,2400
3061,2961481,2329
3088,2961481,2135
3158,2961481,2270
3144,2961481,2261
3323,2961481,2230
3164,2961481,2473
3249,2961481,2510
3397,2961481,2384
26331,2961481,24948
27060,2961481,24286
26759,2961481,24668
27944,2961481,25012
27768,2961481,24336
27021,2961481,23757
27676,2961481,24231
28096,2961481,23986
28649,2961481,24130
28271,2961481,23702
28479,2961481,24205
28705,2961481,23626
28751,2961481,23794
29252,2961481,24379
28939,2961481,25280
30088,2961481,24114
29650,2961481,24102
30009,2961481,23751
30097,2961481,24464
30584,2961481,24016
30284,2961481,23918
30536,2961481,27801
31120,2961481,24641
31057,2961481,23921
31503,2961481,28535
31548,2961481,25683
32033,2961481,24456
