Test suite generation,Whole process,Test suite execution
2269,2135264,4522
2390,2135264,2091
2450,2135264,2000
2344,2135264,2091
2395,2135264,2191
2439,2135264,2074
2410,2135264,2131
2438,2135264,2096
2424,2135264,2090
2493,2135264,1846
2503,2135264,1812
2492,2135264,2085
2508,2135264,2310
2618,2135264,2101
2608,2135264,2090
2627,2135264,2050
2638,2135264,2044
2593,2135264,1858
2638,2135264,2228
2669,2135264,2033
2719,2135264,2323
19961,2135264,23069
18672,2135264,21595
18683,2135264,21313
19304,2135264,21553
19677,2135264,20640
19532,2135264,21099
19455,2135264,22039
19714,2135264,20590
19879,2135264,20051
20007,2135264,20400
20309,2135264,21501
20330,2135264,20072
20481,2135264,30012
20550,2135264,20471
20699,2135264,21366
20668,2135264,23151
20997,2135264,20265
