Test suite generation,Whole process,Test suite execution
487,2170879,48996
340,2170879,40211
283,2170879,39441
258,2170879,39542
261,2170879,46735
238,2170879,39248
204,2170879,40350
339,2170879,39096
231,2170879,39407
150,2170879,39542
252,2170879,40570
415,2170879,39396
457,2170879,40600
488,2170879,41634
498,2170879,40786
505,2170879,40342
494,2170879,46272
520,2170879,49244
572,2170879,38795
449,2170879,39818
225,2170879,40663
234,2170879,39542
166,2170879,40425
194,2170879,40259
160,2170879,38677
388,2170879,39540
204,2170879,39640
418,2170879,39592
169,2170879,39644
369,2170879,39341
194,2170879,46838
458,2170879,39202
175,2170879,39307
380,2170879,40194
211,2170879,38936
438,2170879,47105
171,2170879,39208
346,2170879,38792
197,2170879,39106
423,2170879,38234
