Test suite generation,Whole process,Test suite execution
876,3441761,3004
3238,3441761,1893
3380,3441761,1727
3280,3441761,1977
3270,3441761,2353
3339,3441761,1859
3444,3441761,2074
3349,3441761,1939
3441,3441761,1927
3488,3441761,2124
4003,3441761,2414
3570,3441761,1964
3557,3441761,1995
3577,3441761,2131
3633,3441761,2248
3707,3441761,2107
3692,3441761,3390
3669,3441761,1532
3743,3441761,1837
3806,3441761,2499
3816,3441761,1843
3832,3441761,1906
3916,3441761,2736
31447,3441761,22818
32048,3441761,21924
32184,3441761,21819
33535,3441761,23444
32823,3441761,26123
33325,3441761,26664
33973,3441761,27025
33816,3441761,27075
34503,3441761,27437
34434,3441761,28461
35545,3441761,28525
35667,3441761,25208
36051,3441761,29271
35628,3441761,26821
35541,3441761,26285
