Test suite generation,Whole process,Test suite execution
912,3648417,3021
3419,3648417,2606
3409,3648417,2499
3387,3648417,7653
3455,3648417,2164
3486,3648417,2249
3551,3648417,2583
3572,3648417,3711
3771,3648417,2330
3622,3648417,2406
3699,3648417,1726
3715,3648417,1535
3750,3648417,2756
3767,3648417,2438
3788,3648417,2725
4178,3648417,2416
3987,3648417,1993
3914,3648417,2080
4043,3648417,2735
4023,3648417,2300
4002,3648417,2442
4007,3648417,2411
4135,3648417,2236
4173,3648417,2479
4208,3648417,2896
4208,3648417,1881
34993,3648417,24863
35101,3648417,23181
34213,3648417,24100
35385,3648417,26856
35398,3648417,27233
35306,3648417,29506
35982,3648417,28766
37851,3648417,28437
36424,3648417,27214
37077,3648417,29258
36710,3648417,26632
37609,3648417,28809
