Test suite generation,Whole process,Test suite execution
93,2479792,51708
18,2479792,49604
15,2479792,49178
8,2479792,56867
7,2479792,50020
8,2479792,52376
5,2479792,50465
8,2479792,47726
10,2479792,49906
5,2479792,49820
4,2479792,47015
15,2479792,48948
5,2479792,49548
4,2479792,47361
2,2479792,48889
4,2479792,49145
3,2479792,48919
3,2479792,47379
3,2479792,49454
6,2479792,40314
5,2479792,50137
11,2479792,50493
12,2479792,50221
12,2479792,48627
13,2479792,48428
8,2479792,42376
6,2479792,46765
6,2479792,49779
6,2479792,49645
6,2479792,47552
6,2479792,57975
7,2479792,46694
8,2479792,51154
7,2479792,47979
6,2479792,49103
6,2479792,46009
6,2479792,48814
7,2479792,48931
7,2479792,50022
11,2479792,51947
