Test suite generation,Whole process,Test suite execution
2247,9390539,2501
10391,9390539,1799
6472,9390539,1681
8415,9390539,1532
6785,9390539,1854
6566,9390539,1443
11718,9390539,1220
11003,9390539,1539
6844,9390539,1853
6981,9390539,1458
12366,9390539,1786
6912,9390539,2053
9646,9390539,2070
10593,9390539,2326
7129,9390539,1561
17158,9390539,1681
15603,9390539,2012
12056,9390539,1948
12052,9390539,2074
7440,9390539,1766
7405,9390539,1892
7450,9390539,2452
7821,9390539,2012
2689222,9390539,21486
1298298,9390539,29437
615865,9390539,29832
175272,9390539,25671
99879,9390539,24528
112379,9390539,20574
133711,9390539,24405
75370,9390539,23953
62057,9390539,24043
106430,9390539,19881
103820,9390539,20934
88322,9390539,19495
77794,9390539,20429
85067,9390539,22862
64249,9390539,27521
