Test suite generation,Whole process,Test suite execution
2209,8488319,2109
6601,8488319,1919
10609,8488319,2136
6624,8488319,1982
6488,8488319,1505
6651,8488319,1664
6710,8488319,1435
6770,8488319,2477
6935,8488319,2159
6849,8488319,1926
10590,8488319,2192
6919,8488319,1996
11296,8488319,2538
9618,8488319,1329
12520,8488319,2126
7158,8488319,1917
7171,8488319,1666
7334,8488319,2052
2289507,8488319,23556
1346457,8488319,24773
494337,8488319,24033
159450,8488319,21733
109665,8488319,26363
57604,8488319,23313
59494,8488319,24332
58806,8488319,23407
59986,8488319,27884
60162,8488319,22044
60365,8488319,21884
62217,8488319,20785
62592,8488319,21147
62988,8488319,25552
63415,8488319,23503
64490,8488319,20908
63953,8488319,22459
63678,8488319,20699
64644,8488319,22182
64209,8488319,23437
65804,8488319,21096
