Test suite generation,Whole process,Test suite execution
1736,2201095,1777
3525,2201095,1275
3488,2201095,1029
3489,2201095,1090
3538,2201095,1123
3502,2201095,1045
3516,2201095,1013
24386,2201095,9610
25043,2201095,9304
25086,2201095,9106
25000,2201095,9124
25936,2201095,8945
25510,2201095,8969
25437,2201095,8937
26049,2201095,9769
26094,2201095,9042
26260,2201095,8974
27066,2201095,8609
26645,2201095,9928
27583,2201095,8717
27112,2201095,8808
27272,2201095,8877
27540,2201095,8807
28342,2201095,9007
29704,2201095,8560
28267,2201095,8705
28521,2201095,8748
28803,2201095,8861
29060,2201095,9043
29851,2201095,8634
29419,2201095,8966
30572,2201095,8656
30782,2201095,8974
30102,2201095,8771
31590,2201095,8877
30709,2201095,8848
30954,2201095,8933
31256,2201095,8614
32480,2201095,9037
31619,2201095,8800
