Test suite generation,Whole process,Test suite execution
1741,2268119,1737
3464,2268119,1056
3490,2268119,1251
3574,2268119,1328
3527,2268119,929
3793,2268119,824
3583,2268119,968
3606,2268119,884
24308,2268119,9803
24476,2268119,9392
25228,2268119,8907
25216,2268119,8660
25513,2268119,9006
25996,2268119,11445
26928,2268119,10043
26583,2268119,9767
26889,2268119,9725
28106,2268119,9736
27048,2268119,10194
27367,2268119,13327
27882,2268119,9844
28693,2268119,9096
28081,2268119,8537
28852,2268119,8648
28733,2268119,8632
28903,2268119,8514
29237,2268119,8016
29203,2268119,8099
29588,2268119,8824
30091,2268119,8032
30206,2268119,8249
30368,2268119,7983
31039,2268119,8075
30766,2268119,7955
31371,2268119,9311
31430,2268119,7954
31558,2268119,8161
31687,2268119,8452
32334,2268119,7897
32522,2268119,8000
