Test suite generation,Whole process,Test suite execution
812,1386475,30032
578,1386475,20066
418,1386475,19166
425,1386475,29581
510,1386475,25670
451,1386475,19649
502,1386475,19656
436,1386475,19292
433,1386475,18416
444,1386475,19048
391,1386475,19191
372,1386475,20114
319,1386475,26060
476,1386475,19516
490,1386475,18698
453,1386475,19754
321,1386475,20422
318,1386475,25793
313,1386475,20271
382,1386475,19573
479,1386475,19180
467,1386475,19665
482,1386475,20011
468,1386475,20117
303,1386475,19629
305,1386475,19927
304,1386475,20122
387,1386475,19489
350,1386475,20337
396,1386475,19638
392,1386475,20166
456,1386475,18541
449,1386475,19881
484,1386475,19798
480,1386475,19608
324,1386475,19781
305,1386475,19430
309,1386475,20415
308,1386475,27469
306,1386475,19612
