Test suite generation,Whole process,Test suite execution
4249,2436089,9788
2836,2436089,7490
3018,2436089,7550
2960,2436089,7075
4936,2436089,67229
4866,2436089,41141
4984,2436089,46727
4858,2436089,47259
4922,2436089,39219
5086,2436089,38954
5096,2436089,47142
5080,2436089,40875
5033,2436089,40356
5030,2436089,39026
5236,2436089,39081
5192,2436089,39448
5228,2436089,38879
5275,2436089,40154
5230,2436089,39920
5247,2436089,38987
5365,2436089,39147
5284,2436089,40440
5356,2436089,39125
5176,2436089,41320
5572,2436089,38556
5251,2436089,39415
5276,2436089,39877
5513,2436089,40059
5310,2436089,38795
5604,2436089,39073
5411,2436089,37513
5552,2436089,37924
5569,2436089,38536
5475,2436089,37773
5562,2436089,37649
5588,2436089,38088
5593,2436089,38060
5525,2436089,39366
5698,2436089,39222
5676,2436089,38247
