Test suite generation,Whole process,Test suite execution
109,2452924,49227
21,2452924,40224
22,2452924,41013
11,2452924,40351
11,2452924,48912
10,2452924,41127
14,2452924,46928
15,2452924,48447
14,2452924,40996
13,2452924,53275
23,2452924,50425
14,2452924,57725
14,2452924,47167
14,2452924,47479
13,2452924,49312
14,2452924,47053
18,2452924,40924
19,2452924,40662
17,2452924,40256
16,2452924,49316
17,2452924,50370
15,2452924,50317
14,2452924,39882
19,2452924,58573
14,2452924,40519
15,2452924,47836
14,2452924,49361
31,2452924,47318
15,2452924,48469
18,2452924,51622
15,2452924,48224
15,2452924,48683
16,2452924,51385
15,2452924,49013
14,2452924,49824
13,2452924,61715
13,2452924,52294
14,2452924,41540
14,2452924,47921
14,2452924,49490
