Test suite generation,Whole process,Test suite execution
341,12219844,302838
307,12219844,292859
174,12219844,296097
155,12219844,291970
263,12219844,294598
158,12219844,298683
150,12219844,292133
224,12219844,293171
154,12219844,293097
155,12219844,292026
156,12219844,297264
172,12219844,295592
146,12219844,294852
289,12219844,292126
158,12219844,290590
321,12219844,293404
152,12219844,295203
160,12219844,292090
274,12219844,292856
154,12219844,293345
154,12219844,292463
150,12219844,295277
272,12219844,292552
162,12219844,295483
155,12219844,294181
160,12219844,293851
147,12219844,292516
153,12219844,291625
160,12219844,289827
154,12219844,290606
272,12219844,290635
272,12219844,290546
158,12219844,289861
271,12219844,291328
164,12219844,290826
153,12219844,291757
151,12219844,292538
153,12219844,290648
147,12219844,290482
158,12219844,290981
