Test suite generation,Whole process,Test suite execution
2221,6612937,16654
1609,6612937,7411
1390,6612937,8993
1429,6612937,7840
12982,6612937,61112
12894,6612937,56797
13719,6612937,56942
13207,6612937,50793
13186,6612937,46489
13365,6612937,53370
13453,6612937,57295
13493,6612937,57140
13551,6612937,48843
13623,6612937,48633
13716,6612937,46207
13890,6612937,51147
13824,6612937,49530
14050,6612937,46484
14149,6612937,56436
13892,6612937,49042
14073,6612937,46573
14316,6612937,983193
14533,6612937,40379
14418,6612937,40771
14744,6612937,40204
14583,6612937,970104
14633,6612937,47077
15148,6612937,63696
15678,6612937,67863
15087,6612937,71860
16101,6612937,80656
15206,6612937,82959
15293,6612937,58291
15359,6612937,48526
15437,6612937,60387
15505,6612937,59383
15638,6612937,58507
15745,6612937,56221
15933,6612937,50113
15891,6612937,49311
