Test suite generation,Whole process,Test suite execution
477,2211640,51251
309,2211640,70011
252,2211640,46196
249,2211640,40837
320,2211640,57129
258,2211640,40673
285,2211640,49366
233,2211640,45964
228,2211640,39014
348,2211640,39519
224,2211640,41622
165,2211640,40017
394,2211640,40433
197,2211640,39209
163,2211640,40039
256,2211640,47334
345,2211640,37980
344,2211640,39229
354,2211640,40392
423,2211640,39308
456,2211640,40604
377,2211640,40605
180,2211640,39071
352,2211640,38239
143,2211640,39545
351,2211640,47914
148,2211640,47486
346,2211640,46188
152,2211640,38108
340,2211640,41266
149,2211640,41481
333,2211640,39789
147,2211640,39463
331,2211640,40152
147,2211640,38219
333,2211640,38186
144,2211640,39249
334,2211640,39757
144,2211640,38449
328,2211640,46696
