Test suite generation,Whole process,Test suite execution
1861,6701776,10553
1075,6701776,9559
1054,6701776,8171
1031,6701776,9495
989,6701776,10439
1042,6701776,8253
1133,6701776,8127
1102,6701776,9000
1120,6701776,9175
1015,6701776,8145
1045,6701776,10406
1174,6701776,8735
1112,6701776,9768
1140,6701776,54141
1183,6701776,8680
1118,6701776,8411
1116,6701776,35096
1128,6701776,19262
1176,6701776,10289
1176,6701776,10099
1173,6701776,19774
1170,6701776,32649
1192,6701776,9639
1177,6701776,10077
1203,6701776,9609
1293,6701776,9869
1281,6701776,6844
1268,6701776,8973
