Test suite generation,Whole process,Test suite execution
79,2719230,61078
20,2719230,50714
11,2719230,49388
9,2719230,59555
7,2719230,50523
9,2719230,58075
6,2719230,60320
12,2719230,51209
10,2719230,49785
3,2719230,51446
4,2719230,50279
15,2719230,56521
6,2719230,49599
2,2719230,48268
2,2719230,47165
2,2719230,50247
3,2719230,48293
4,2719230,50809
4,2719230,50201
4,2719230,57058
7,2719230,50449
3,2719230,48768
7,2719230,50341
1,2719230,50034
5,2719230,51405
9,2719230,51694
11,2719230,56847
12,2719230,57345
1,2719230,50734
6,2719230,56053
7,2719230,50936
7,2719230,56847
8,2719230,49048
6,2719230,57329
6,2719230,51353
6,2719230,58779
7,2719230,47919
11,2719230,111718
3,2719230,84012
5,2719230,77423
