Test suite generation,Whole process,Test suite execution
2759,6762930,8793
1895,6762930,6761
1813,6762930,6552
1820,6762930,6322
1767,6762930,6949
1804,6762930,7475
1859,6762930,7221
1816,6762930,6868
1873,6762930,7462
1675,6762930,6854
1832,6762930,8630
1823,6762930,6097
1800,6762930,6351
1800,6762930,7563
1852,6762930,5939
1907,6762930,5943
1897,6762930,6123
1726,6762930,7029
1964,6762930,6391
1995,6762930,6433
2016,6762930,6564
1816,6762930,6802
1747,6762930,7266
1954,6762930,6263
1878,6762930,6303
1746,6762930,6404
1694,6762930,7213
1760,6762930,9703
2008,6762930,6419
2003,6762930,6238
2074,6762930,15952
2092,6762930,8032
8283,6762930,51162
8225,6762930,38947
8244,6762930,50951
8311,6762930,37275
8466,6762930,40544
