Test suite generation,Whole process,Test suite execution
755,1278020,28276
521,1278020,19061
528,1278020,19671
547,1278020,18439
431,1278020,18018
435,1278020,18653
408,1278020,19042
458,1278020,18831
374,1278020,18963
405,1278020,18982
378,1278020,17865
377,1278020,17478
574,1278020,18454
478,1278020,17375
457,1278020,17457
349,1278020,21186
314,1278020,16914
332,1278020,17548
272,1278020,17854
289,1278020,18793
289,1278020,18056
312,1278020,18612
312,1278020,18524
509,1278020,19134
284,1278020,19040
286,1278020,17596
284,1278020,18474
288,1278020,20250
293,1278020,17803
388,1278020,18586
330,1278020,18616
458,1278020,18482
284,1278020,20209
308,1278020,17908
272,1278020,17864
282,1278020,17849
305,1278020,17554
387,1278020,18288
329,1278020,18887
412,1278020,18256
