Test suite generation,Whole process,Test suite execution
3727,2981694,8088
2774,2981694,6767
2654,2981694,6655
2645,2981694,6612
2699,2981694,7025
2600,2981694,6582
2679,2981694,6645
2587,2981694,6497
2709,2981694,6447
2705,2981694,6545
2704,2981694,7339
2921,2981694,6752
2832,2981694,6447
2937,2981694,6915
2963,2981694,6791
2959,2981694,6461
2950,2981694,6693
2996,2981694,6505
2948,2981694,7327
2986,2981694,6803
20086,2981694,36278
20252,2981694,39964
20470,2981694,39799
20618,2981694,46916
20746,2981694,46697
21159,2981694,49071
21046,2981694,47614
21556,2981694,47428
21474,2981694,47735
21489,2981694,49421
22212,2981694,47700
21856,2981694,46983
22020,2981694,40815
22368,2981694,49700
23173,2981694,41221
23000,2981694,48449
23100,2981694,48772
23404,2981694,28775
