Test suite generation,Whole process,Test suite execution
1348,1557557,26337
964,1557557,18397
862,1557557,18002
818,1557557,18201
846,1557557,18254
802,1557557,18692
795,1557557,18768
879,1557557,18513
800,1557557,17925
830,1557557,17951
843,1557557,18396
870,1557557,18549
849,1557557,19321
817,1557557,18485
823,1557557,20793
837,1557557,19731
822,1557557,48106
861,1557557,19091
837,1557557,20221
851,1557557,28041
868,1557557,25630
822,1557557,26790
708,1557557,38749
820,1557557,30200
748,1557557,38497
749,1557557,28282
694,1557557,19820
889,1557557,30946
770,1557557,38375
805,1557557,37979
779,1557557,29646
906,1557557,30105
819,1557557,36992
825,1557557,37298
813,1557557,27495
858,1557557,19921
811,1557557,28468
816,1557557,19363
843,1557557,20004
851,1557557,29283
