Test suite generation,Whole process,Test suite execution
2817,1756115,7971
2194,1756115,6576
2280,1756115,6036
2191,1756115,6378
1998,1756115,6304
2150,1756115,6107
9421,1756115,19548
9721,1756115,18614
8462,1756115,18783
8621,1756115,19045
8737,1756115,19627
8763,1756115,18497
9005,1756115,17950
8970,1756115,17898
9106,1756115,17693
9119,1756115,18220
9182,1756115,17738
9263,1756115,18574
9408,1756115,18270
9325,1756115,17567
9547,1756115,18761
9677,1756115,18388
9606,1756115,17495
9823,1756115,18293
9923,1756115,17706
9832,1756115,17530
9951,1756115,18595
10050,1756115,18329
9911,1756115,18144
10035,1756115,18410
10189,1756115,18171
10424,1756115,18053
10447,1756115,17688
10237,1756115,19278
10636,1756115,19038
10635,1756115,19192
10688,1756115,19503
10779,1756115,18170
10996,1756115,19067
11009,1756115,17869
