Test suite generation,Whole process,Test suite execution
725,1271867,28697
530,1271867,18903
504,1271867,18679
530,1271867,18428
435,1271867,17958
428,1271867,18775
414,1271867,18077
423,1271867,18766
429,1271867,18698
435,1271867,18963
390,1271867,17566
388,1271867,17912
356,1271867,18219
395,1271867,17650
392,1271867,18815
287,1271867,19093
467,1271867,17698
459,1271867,18526
391,1271867,19120
388,1271867,18448
384,1271867,18415
274,1271867,18864
302,1271867,19033
282,1271867,17518
393,1271867,18065
264,1271867,18514
447,1271867,18647
483,1271867,18777
479,1271867,18534
418,1271867,18908
342,1271867,17964
470,1271867,19095
492,1271867,18291
463,1271867,18892
459,1271867,17806
478,1271867,18551
480,1271867,19733
470,1271867,18317
454,1271867,18311
332,1271867,18528
